"","fips","SCC","Pollutant","Emissions","type","year","summ"
"216","24510","223007527X","PM25-PRI",2.53,"ON-ROAD","1999",7332966.73700002
"217","24510","223007529B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"218","24510","223007529X","PM25-PRI",2.09,"ON-ROAD","1999",7332966.73700002
"219","24510","223007531X","PM25-PRI",0.94,"ON-ROAD","1999",7332966.73700002
"220","24510","223007533X","PM25-PRI",0.87,"ON-ROAD","1999",7332966.73700002
"221","24510","2260003030","PM25-PRI",0.03,"NON-ROAD","1999",7332966.73700002
"222","24510","2260003040","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"223","24510","2260004016","PM25-PRI",0.16,"NON-ROAD","1999",7332966.73700002
"224","24510","2260004021","PM25-PRI",2.75,"NON-ROAD","1999",7332966.73700002
"225","24510","2260004026","PM25-PRI",1.62,"NON-ROAD","1999",7332966.73700002
"226","24510","2260004031","PM25-PRI",1.73,"NON-ROAD","1999",7332966.73700002
"227","24510","2260004036","PM25-PRI",1.74,"NON-ROAD","1999",7332966.73700002
"228","24510","2260004071","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"229","24510","2260006005","PM25-PRI",0.23,"NON-ROAD","1999",7332966.73700002
"230","24510","2260006010","PM25-PRI",1.66,"NON-ROAD","1999",7332966.73700002
"231","24510","2260006015","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"232","24510","2265001050","PM25-PRI",0.13,"NON-ROAD","1999",7332966.73700002
"233","24510","2265003010","PM25-PRI",0.03,"NON-ROAD","1999",7332966.73700002
"234","24510","2265003020","PM25-PRI",0.1,"NON-ROAD","1999",7332966.73700002
"235","24510","2265003030","PM25-PRI",0.03,"NON-ROAD","1999",7332966.73700002
"236","24510","2265003040","PM25-PRI",0.1,"NON-ROAD","1999",7332966.73700002
"237","24510","2265003050","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"238","24510","2265003060","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"239","24510","2265003070","PM25-PRI",0.01,"NON-ROAD","1999",7332966.73700002
"240","24510","2265004011","PM25-PRI",0.12,"NON-ROAD","1999",7332966.73700002
"241","24510","2265004016","PM25-PRI",0.11,"NON-ROAD","1999",7332966.73700002
"242","24510","2265004026","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"243","24510","2265004031","PM25-PRI",0.07,"NON-ROAD","1999",7332966.73700002
"244","24510","2265004036","PM25-PRI",0.03,"NON-ROAD","1999",7332966.73700002
"245","24510","2265004041","PM25-PRI",0.01,"NON-ROAD","1999",7332966.73700002
"246","24510","2265004046","PM25-PRI",0.01,"NON-ROAD","1999",7332966.73700002
"247","24510","2265004051","PM25-PRI",0.02,"NON-ROAD","1999",7332966.73700002
"248","24510","2265004056","PM25-PRI",0.11,"NON-ROAD","1999",7332966.73700002
"249","24510","2265004066","PM25-PRI",0.02,"NON-ROAD","1999",7332966.73700002
"250","24510","2265004071","PM25-PRI",0.35,"NON-ROAD","1999",7332966.73700002
"251","24510","2265004076","PM25-PRI",0.03,"NON-ROAD","1999",7332966.73700002
"252","24510","2265006005","PM25-PRI",0.71,"NON-ROAD","1999",7332966.73700002
"253","24510","2265006010","PM25-PRI",0.25,"NON-ROAD","1999",7332966.73700002
"254","24510","2265006015","PM25-PRI",0.12,"NON-ROAD","1999",7332966.73700002
"255","24510","2265006025","PM25-PRI",0.22,"NON-ROAD","1999",7332966.73700002
"256","24510","2265006030","PM25-PRI",0.43,"NON-ROAD","1999",7332966.73700002
"257","24510","2267003010","PM25-PRI",0.02,"NON-ROAD","1999",7332966.73700002
"258","24510","2267003020","PM25-PRI",1.8,"NON-ROAD","1999",7332966.73700002
"259","24510","2267003030","PM25-PRI",0.01,"NON-ROAD","1999",7332966.73700002
"260","24510","2267003040","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"261","24510","2267003050","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"262","24510","2267003070","PM25-PRI",0.01,"NON-ROAD","1999",7332966.73700002
"263","24510","2267004066","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"264","24510","2267006005","PM25-PRI",0.05,"NON-ROAD","1999",7332966.73700002
"265","24510","2267006010","PM25-PRI",0.01,"NON-ROAD","1999",7332966.73700002
"266","24510","2267006015","PM25-PRI",0.02,"NON-ROAD","1999",7332966.73700002
"267","24510","2267006025","PM25-PRI",0.02,"NON-ROAD","1999",7332966.73700002
